Step,Scenario,Decision,Network_Param_Anomalies_Score,Network_Param_Anomalies_Weight,Network_Param_ProtocolScore_Score,Network_Param_ProtocolScore_Weight,Network_Param_NodeReputation_Score,Network_Param_NodeReputation_Weight,Network_Score,Data_Param_Integrity_Score,Data_Param_Integrity_Weight,Data_Param_Freshness_Score,Data_Param_Freshness_Weight,Data_Param_Authenticity_Score,Data_Param_Authenticity_Weight,Data_Score,Device_Param_Identity_Score,Device_Param_Identity_Weight,Device_Param_Reputation_Score,Device_Param_Reputation_Weight,Device_Param_Compliance_Score,Device_Param_Compliance_Weight,Device_Score,App_Param_VulnerabilityScore_Score,App_Param_VulnerabilityScore_Weight,App_Param_Consistency_Score,App_Param_Consistency_Weight,App_Param_AccessCompliance_Score,App_Param_AccessCompliance_Weight,App_Score,Decay_Factor,Network_Weight,Data_Weight,Device_Weight,App_Weight,Belief_Safe,Belief_Unsafe,Uncertainty,Trust_Score
0,corporate_office,Limited Access,0.9317702553162094,0.3333333333333333,0.9451133463303659,0.3333333333333333,0.9824344468267474,0.3333333333333333,0.9531060161577742,0.8407455257241666,0.3333333333333333,0.8886039313662542,0.3333333333333333,0.8801497817587327,0.3333333333333333,0.8698330796163843,0.9669979460878102,0.3333333333333333,0.95191981384726,0.3333333333333333,0.977572257299012,0.3333333333333333,0.9654966724113607,0.9189085626597188,0.3333333333333333,0.9231929767525786,0.3333333333333333,0.8713889300073812,0.3333333333333333,0.9044968231398928,0.9048374180359595,0.22620935450898988,0.22620935450898988,0.22620935450898988,0.22620935450898988,0.5942571343824712,0.034378307607441566,0.3713645580100875,0.7057183650340398
1,corporate_office,Limited Access,0.9415816476796541,0.33321111486799637,0.9569858031088139,0.3328401269904245,0.9852087434073274,0.3339487581415792,0.9612779831684561,0.8449624317855072,0.34018415934284296,0.9379511372531552,0.32080519754924497,0.8926520814249542,0.33901064310791207,0.8909609906067644,0.9796646954313672,0.33288688756836926,0.9431565309788046,0.3335817150413056,0.986673973875866,0.33353139739032506,0.9698240537545629,0.9182702690789245,0.3368027564432353,0.9240438261482165,0.33680009132074856,0.8356729934076745,0.3263971522360161,0.8932552880655583,0.8187307530779818,0.20517869376264594,0.20325299929035337,0.20542507402532134,0.2048739859996611,0.8136593116473653,0.02768208995600116,0.158658598396634,0.7311172378477463
2,corporate_office,Limited Access,0.9185703133089159,0.3325883096323662,0.9399710564695748,0.3338498920924553,1.0,0.33356179827517846,0.9528767818294626,0.8604543780733056,0.33921474181451117,0.921382014583684,0.32786516545508737,0.8537999843899698,0.3329200927304016,0.8782150463364476,0.9601371303023607,0.3324655142337358,0.9545350173673518,0.33385023746310266,0.9902998646637109,0.3336842483031615,0.9683316929108479,0.9217823714255592,0.3356213665408004,0.9250072573912005,0.3356812429503665,0.854916928261668,0.32869739050883323,0.9008864084716912,0.7408182206817179,0.18545664320687097,0.18434877771372554,0.18567999101580984,0.18533280874531147,0.9062799485085679,0.019117648240797494,0.07460240325063472,0.6990221087109938
3,corporate_office,Limited Access,0.9304665812987802,0.33338577283887333,0.9645272756041954,0.33250449866481835,0.9904278274004058,0.33410972849630827,0.9618255510382923,0.8639363872867588,0.3380298488340844,0.9011813827382127,0.329571705618474,0.8950822399155902,0.33239844554744163,0.88656411696252,0.9853388364679742,0.3317414138708603,0.9436607158563471,0.3342082398889994,0.9782239167399506,0.3340503462401403,0.9690329237378638,0.9513467925557302,0.3364656054986474,0.8828156664202451,0.332239669239324,0.8857720726114666,0.3312947252620286,0.906853475047809,0.6703200460356393,0.16774454253078017,0.16695893267187992,0.16800784283817108,0.16760872799480817,0.9498530205128601,0.012364035183178855,0.03778294430396101,0.649368852919868
4,corporate_office,Limited Access,0.9283120342432488,0.3334628039408512,0.9502929629294954,0.3327742462435358,0.9971188027888815,0.333762949815613,0.958591871255618,0.858814853470924,0.3372598958609924,0.9216823484347796,0.33021542588551633,0.8894621555008053,0.3325246782534913,0.889765654341593,0.9691150167911617,0.3321230149599563,0.9564979347064729,0.3338245381976028,0.98386106162843,0.33405244684244095,0.9698290775499772,0.9301791454088517,0.3374666314671107,0.9395565291290068,0.33065879555249483,0.8786942334332821,0.3318745729803945,0.9161933266383665,0.6065306597126334,0.1519253920966275,0.15119096454239192,0.1521137274817148,0.15130057559189927,0.9715219141240534,0.008007871424121273,0.020470214451825286,0.5954657338369048
5,corporate_office,Limited Access,0.9218672233484686,0.33377828924599695,0.9445150836530326,0.33330186209514356,0.9734493683842971,0.3329198486588595,0.9465885172792778,0.8692793586440389,0.3366545773013396,0.9197536171330274,0.3317211106422348,0.8602751577955122,0.3316243120564257,0.8830367238168388,0.9592088634331313,0.33236326592639126,0.9499054141175034,0.3345661002158713,0.9642169044827466,0.33307063385773744,0.9577642760838265,0.9443290444747418,0.3363687581181705,0.9345232162078633,0.3307903666581884,0.8617296164462213,0.332840875223641,0.9135929050289688,0.5488116360940264,0.13734841183090762,0.13702192829121007,0.13749868874380036,0.13694260722810828,0.9827145097713866,0.005433370328156469,0.01185211990045687,0.54257744857785
6,corporate_office,Limited Access,0.9168954539087752,0.3334943132031432,0.9418050612753998,0.33336915084787727,0.9812082903383601,0.3331365359489796,0.9466245041097461,0.8821815557025089,0.33461990961643606,0.9278281712065317,0.3324283377783637,0.8754368472071198,0.33295175260520027,0.8951101217053683,0.9683787879105499,0.33270793561476336,0.9460157408790388,0.33454731418704975,0.9921333956894762,0.3327447501981869,0.9688015116205739,0.9276903128596822,0.3360157947693385,0.9300902446094508,0.330966693932961,0.8635714541821699,0.33301751129770046,0.9071319075925337,0.4965853037914095,0.12422242659838661,0.12387499777630744,0.12445771548257367,0.1240301639341418,0.9890175660344013,0.0037455996970690115,0.007236834268529613,0.49292844125609653
7,corporate_office,No Access,0.9195702610950318,0.33379962119660095,0.9666372519263574,0.3327721540859448,0.9786243118754367,0.33342822471745415,0.9549231323344002,0.8729237969310342,0.3343368565434312,0.9319839635257559,0.3322000759895631,0.8768652901034832,0.3334630674670056,0.893857931165442,0.9674182976442914,0.33301116407658227,0.9614587322014191,0.3341121315128352,0.9890620127470826,0.3328767044105826,0.9726318230859019,0.9475602870035625,0.33632188800032886,0.8889727818424955,0.32894468386419434,0.8620685247582145,0.33473342813547685,0.899671287986235,0.44932896411722156,0.11243961217568835,0.11206417746681868,0.11258747474267375,0.11223769973204083,0.9927042559964675,0.002653926984194568,0.004641817019337857,0.44709362643811024
8,corporate_office,No Access,0.9097208909166733,0.33329827803481216,0.9417515941657084,0.3329713112690104,0.9920742224311442,0.3337304106961775,0.947870007326896,0.8526902429803447,0.3373064211033526,0.9225045599598612,0.3356034125351854,0.8227147672680427,0.32709016636146193,0.8663154826649827,0.9663322082530349,0.33405597271374343,0.9778146794064219,0.33269810346105994,0.997631772037412,0.3332459238251967,0.9805828566774635,0.9278360629647154,0.33676086416690654,0.9004313430744721,0.32920855641507346,0.884899099916567,0.3340305794180199,0.9044719360452658,0.40656965974059917,0.10183331752947888,0.10119265769778385,0.10182991229513208,0.10171377221820431,0.9949280688047631,0.001952199871769041,0.003119731323467878,0.4051417604516562
9,corporate_office,No Access,0.9221036475853731,0.33332304923475764,0.9447707972233303,0.3329560345232945,0.9853322722131022,0.33372091624194794,0.9507515263862575,0.8645832513480612,0.33885258649209626,0.8928948826095587,0.33530465378941926,0.9084665131139057,0.3258427597184846,0.8883753161856427,0.972547093101727,0.3345707702107123,0.9310996236926453,0.331843289155359,0.9745762046725569,0.33358594063392866,0.9594699116178576,0.9150962724570367,0.3362743413308954,0.9361483346524964,0.32919320435143246,0.8731446548984574,0.33453245431767215,0.9079922906848978,0.36787944117144233,0.0921452878230612,0.09161284776254622,0.09207258480461947,0.09204872078121545,0.996349254182106,0.0014706047960037366,0.002180141021890236,0.36693742137050045
